bank_id,name,branch,address,ifsc_code,email,phone,funds
2,State Bank of India,Kochi Branch 3,"Kochi Branch 3, Kochi, India",STAT9157,kochibranch3@statebankofindia.com,9123356685,31142762.33
3,HDFC Bank,Nagpur Branch 4,"Nagpur Branch 4, Nagpur, India",HDFC4950,nagpurbranch4@hdfcbank.com,9507043345,88246812.06
4,Bank of Baroda,Lucknow Branch 5,"Lucknow Branch 5, Lucknow, India",BANK8088,lucknowbranch5@bankofbaroda.com,9263801274,90153794.05
5,IndusInd Bank,Chennai Branch 1,"Chennai Branch 1, Chennai, India",INDU6149,chennaibranch1@indusindbank.com,9275898293,19878570.68
6,ICICI Bank,Guwahati Branch 2,"Guwahati Branch 2, Guwahati, India",ICIC5330,guwahatibranch2@icicibank.com,9134404371,42858137.06
7,Kotak Mahindra Bank,Vadodara Branch 3,"Vadodara Branch 3, Vadodara, India",KOTA4765,vadodarabranch3@kotakmahindrabank.com,9434182686,99075828.14
8,Canara Bank,Patna Branch 4,"Patna Branch 4, Patna, India",CANA4176,patnabranch4@canarabank.com,9121856110,76841064.61
9,Axis Bank,Nagpur Branch 5,"Nagpur Branch 5, Nagpur, India",AXIS7910,nagpurbranch5@axisbank.com,9367534700,66719179.81
10,Canara Bank,Jaipur Branch 1,"Jaipur Branch 1, Jaipur, India",CANA2423,jaipurbranch1@canarabank.com,9580512656,71296058.5
11,State Bank of India,Mumbai Branch 2,"Mumbai Branch 2, Mumbai, India",STAT9814,mumbaibranch2@statebankofindia.com,9194197158,53024704.99
12,Axis Bank,Pune Branch 3,"Pune Branch 3, Pune, India",AXIS6317,punebranch3@axisbank.com,9883492932,81315052.95
13,Union Bank of India,Hyderabad Branch 4,"Hyderabad Branch 4, Hyderabad, India",UNIO8675,hyderabadbranch4@unionbankofindia.com,9271154719,39989659.56
14,Kotak Mahindra Bank,Hyderabad Branch 5,"Hyderabad Branch 5, Hyderabad, India",KOTA1729,hyderabadbranch5@kotakmahindrabank.com,9881927045,17467923.74
15,ICICI Bank,Nagpur Branch 1,"Nagpur Branch 1, Nagpur, India",ICIC6901,nagpurbranch1@icicibank.com,9288915402,60381013.03
16,State Bank of India,Bengaluru Branch 2,"Bengaluru Branch 2, Bengaluru, India",STAT9507,bengalurubranch2@statebankofindia.com,9909346063,38040585.4
17,Axis Bank,Visakhapatnam Branch 3,"Visakhapatnam Branch 3, Visakhapatnam, India",AXIS5069,visakhapatnambranch3@axisbank.com,9698228661,63594313.78
18,HDFC Bank,Patna Branch 4,"Patna Branch 4, Patna, India",HDFC7618,patnabranch4@hdfcbank.com,9574113800,68081155.48
