feature_id,customer_id,feature_type,amount,start_date,end_date
2,4027,Insurance,8135.94,2015-01-12,2020-01-11
3,5889,Locker,45058.3,2023-09-15,2028-09-13
4,7393,Loan,78395.3,2015-03-17,2020-03-15
5,6203,Overdraft,45451.32,2023-10-13,2028-10-11
6,937,Loan,36760.22,2022-02-15,2027-02-14
7,4251,Insurance,12263.66,2022-09-01,2023-09-01
8,3812,Overdraft,30125.79,2016-03-03,2019-03-03
9,4428,Loan,55849.29,2018-01-08,2019-01-08
10,7180,Loan,31918.96,2022-01-10,2026-01-09
11,6453,Overdraft,97228.98,2016-04-08,2021-04-07
12,363,Overdraft,97508.59,2016-05-28,2018-05-28
13,6055,Locker,94026.37,2023-06-09,2025-06-08
14,2497,Loan,48645.22,2019-01-07,2020-01-07
15,1079,Insurance,66937.98,2023-03-08,2025-03-07
16,2352,Locker,25801.57,2016-05-02,2017-05-02
17,407,Loan,90830.45,2021-05-16,2025-05-15
18,2497,Credit Card,14738.2,2023-02-15,2028-02-14
19,1288,Credit Card,6709.4,2018-03-14,2022-03-13
20,1964,Overdraft,75313.76,2015-11-11,2019-11-10
21,4972,Credit Card,14087.7,2015-06-27,2020-06-25
22,1945,Locker,97640.36,2019-10-22,2024-10-20
23,1002,Insurance,27260.44,2015-03-13,2019-03-12
24,2308,Credit Card,32790.55,2017-08-31,2022-08-30
25,51,Overdraft,17668.13,2022-08-06,2027-08-05
26,6916,Locker,21511.91,2023-12-21,2026-12-20
27,6632,Loan,86221.88,2020-04-01,2022-04-01
28,1393,Insurance,53569.7,2019-02-04,2024-02-03
29,5608,Locker,53277.74,2019-06-25,2021-06-24
30,7973,Insurance,64825.5,2017-08-08,2020-08-07
31,552,Loan,29128.88,2020-01-04,2022-01-03
32,980,Loan,7502.42,2016-01-27,2017-01-26
33,3160,Credit Card,96538.28,2021-06-26,2024-06-25
34,4449,Credit Card,26105.58,2018-10-25,2023-10-24
35,1500,Credit Card,53531.28,2017-11-26,2018-11-26
36,4929,Insurance,66319.89,2015-04-03,2020-04-01
37,7901,Locker,78376.1,2017-09-18,2018-09-18
38,3474,Loan,55492.33,2021-01-05,2022-01-05
39,6583,Insurance,87872.05,2020-02-25,2023-02-24
40,803,Credit Card,25707.64,2017-11-05,2019-11-05
41,6797,Overdraft,74894.31,2021-05-29,2023-05-29
42,5113,Credit Card,70817.16,2015-07-15,2020-07-13
43,1681,Overdraft,28749.35,2021-10-11,2025-10-10
44,2107,Overdraft,24056.83,2019-11-10,2022-11-09
45,1565,Insurance,26285.9,2016-09-08,2017-09-08
46,7380,Insurance,57788.93,2015-06-07,2018-06-06
47,7198,Overdraft,68358.32,2022-12-05,2026-12-04
48,1671,Overdraft,32645.94,2019-01-28,2024-01-27
49,3478,Overdraft,79392.67,2021-11-20,2025-11-19
50,1248,Insurance,41147.99,2022-07-30,2025-07-29
51,7542,Loan,52199.95,2017-04-25,2018-04-25
52,7962,Loan,18496.56,2021-10-16,2026-10-15
53,37,Locker,9003.94,2018-07-10,2023-07-09
54,5837,Overdraft,80130.45,2019-06-28,2024-06-26
55,7713,Credit Card,64557.68,2019-02-16,2021-02-15
56,3564,Overdraft,37585.27,2019-03-23,2024-03-21
57,3402,Overdraft,10788.31,2020-06-20,2024-06-19
58,5374,Loan,57991.2,2018-06-07,2020-06-06
59,1079,Locker,47170.39,2020-02-09,2025-02-07
60,2645,Locker,88213.41,2018-07-30,2019-07-30
61,6603,Locker,27752.81,2020-02-16,2022-02-15
