transaction_id,customer_id,amount,transaction_type,transaction_date,mode_of_transaction
2,119,90805.07,Debit,2022-11-25,Debit Card
3,5467,48955.83,Credit,2024-08-10,Cash
4,3091,73216.28,Debit,2022-12-18,UPI
5,226,14931.08,Debit,2023-09-13,Cheque
6,5778,1223.31,Credit,2024-10-09,Online Transfer
7,7983,16558.91,Credit,2021-04-25,Online Transfer
8,3525,37764.1,Debit,2024-01-08,Debit Card
9,2133,54734.84,Credit,2021-03-04,Online Transfer
10,5656,56942.18,Debit,2021-07-13,Cash
11,5089,48305.25,Debit,2020-05-22,Online Transfer
12,2284,38263.68,Debit,2023-07-18,Cheque
13,5550,33514.91,Debit,2022-10-21,UPI
14,301,32841.58,Debit,2022-12-25,Debit Card
15,1645,51217.37,Credit,2021-10-09,Debit Card
16,6732,90243.45,Credit,2022-06-10,Cheque
17,5605,31891.3,Credit,2023-04-05,Cash
18,520,60575.72,Debit,2024-12-23,UPI
19,1986,98642.49,Credit,2022-02-28,Online Transfer
20,1730,71615.64,Credit,2023-03-23,Online Transfer
21,1726,16415.89,Debit,2020-01-01,Cash
22,6984,89938.4,Debit,2021-04-10,UPI
23,5546,87381.16,Debit,2020-01-08,Cash
24,7876,17235.21,Debit,2021-04-17,Cheque
25,7832,83709.45,Credit,2024-09-18,Debit Card
26,361,77372.68,Credit,2023-12-26,Cash
27,6121,32949.29,Debit,2024-12-11,UPI
28,6383,31131.12,Credit,2020-08-03,Cash
29,6786,23499.95,Debit,2021-01-10,Debit Card
30,6083,81267.09,Credit,2023-06-18,Online Transfer
31,79,20925.05,Credit,2022-03-18,Cash
32,2612,48672.33,Credit,2020-07-10,Debit Card
33,1834,82543.48,Credit,2023-06-22,Online Transfer
34,1876,99924.84,Credit,2023-08-19,UPI
35,824,79905.6,Credit,2022-11-29,Cash
36,6025,56238.53,Credit,2020-07-26,Cash
37,7226,23088.06,Credit,2021-12-13,Cash
38,7840,10664.71,Credit,2023-04-02,Cash
39,5374,96732.3,Debit,2024-04-07,Online Transfer
40,1450,18738.58,Debit,2021-05-06,Cheque
41,3826,92802.65,Credit,2021-06-21,Debit Card
42,4437,11817.31,Debit,2020-05-22,Online Transfer
43,4487,10385.32,Credit,2021-01-24,Cheque
44,2424,10907.42,Debit,2022-02-05,UPI
45,2524,85009.87,Debit,2023-10-12,Cash
46,7798,79127.12,Debit,2024-10-27,Cash
47,1887,21805.16,Credit,2024-05-06,Cheque
48,6856,53696.99,Debit,2021-11-21,UPI
49,4207,92857.21,Debit,2022-01-23,UPI
50,5642,65362.15,Debit,2023-03-27,Cheque
51,2246,14003.72,Debit,2021-09-30,Online Transfer
52,474,83895.31,Debit,2024-06-16,UPI
53,6204,39060.9,Debit,2022-08-30,UPI
54,7846,80793.36,Credit,2020-09-23,Cash
55,5751,73574.34,Debit,2020-08-24,Debit Card
56,5391,99990.52,Credit,2024-07-09,Online Transfer
57,6814,23732.92,Credit,2021-11-25,Debit Card
58,5412,64055.46,Debit,2020-07-27,UPI
59,6325,18464.08,Debit,2020-04-30,Cash
60,972,69543.89,Credit,2023-04-01,Cash
61,6057,59561.36,Debit,2021-07-30,Cheque
62,2652,40951.72,Credit,2020-10-07,Cash
63,3519,53114.14,Credit,2020-10-22,Debit Card
64,5948,74403.06,Debit,2021-10-13,Cheque
65,3474,82899.81,Credit,2021-09-10,Cash
66,7544,21777.07,Credit,2022-04-07,Cash
67,7917,96799.26,Credit,2024-12-10,Debit Card
68,338,21848.95,Debit,2020-05-02,UPI
69,2860,36572.42,Credit,2023-05-15,Cash
70,504,33024.63,Debit,2020-05-03,UPI
71,3587,32817.8,Debit,2023-11-28,Online Transfer
72,3495,64447.73,Debit,2020-05-20,UPI
73,5163,93411.36,Credit,2022-12-11,Cheque
74,38,99299.96,Debit,2024-11-17,Online Transfer
75,3722,70985.52,Credit,2022-10-22,Online Transfer
76,6233,58716.95,Credit,2020-06-15,UPI
77,6514,23608.39,Debit,2023-10-04,UPI
78,12,16305.23,Debit,2020-04-28,Debit Card
79,161,76962.75,Credit,2022-03-19,Cash
80,2561,33652.01,Debit,2020-07-01,Online Transfer
